Provinsi,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
ACEH,71.09,71.16,71.22,71.30,71.34,71.49,71.52,71.55,71.67,71.85,71.91,71.94
SUMATERA UTARA,69.43,69.61,69.78,69.91,70.01,70.26,70.29,70.29,70.52,70.92,71.08,71.21
SUMATERA BARAT,69.58,69.78,69.99,70.20,70.31,70.65,70.65,70.70,70.93,71.29,71.45,71.57
RIAU,72.14,72.30,72.46,72.64,72.73,72.90,72.90,72.92,73.12,73.43,73.55,73.62
JAMBI,71.88,72.03,72.18,72.33,72.41,72.54,72.62,72.67,72.80,72.97,73.07,73.19
SUMATERA SELATAN,70.34,70.49,70.66,70.83,70.91,71.13,71.16,71.17,71.40,71.63,71.86,71.95
BENGKULU,69.81,69.98,70.16,70.32,70.35,70.48,70.49,70.51,70.76,71.13,71.27,71.40
LAMPUNG,70.90,71.10,71.31,71.53,71.64,71.88,71.90,71.91,72.14,72.48,72.61,72.69
KEP. BANGKA BELITUNG,71.14,71.30,71.45,71.61,71.69,71.85,71.88,71.89,72.11,72.46,72.59,72.70
KEP. RIAU,70.39,70.59,70.81,71.02,71.12,71.38,71.39,71.40,71.56,71.73,71.90,72.07
DKI JAKARTA,73.65,73.80,73.96,74.12,74.20,74.36,74.41,74.41,74.56,74.68,74.80,74.91
JAWA BARAT,73.27,73.53,73.79,74.05,74.18,74.36,74.39,74.42,74.62,74.81,75.00,75.19
JAWA TENGAH,74.75,74.92,75.10,75.28,75.87,75.95,75.99,76.02,76.10,76.16,76.30,76.42
DI YOGYAKARTA,76.06,76.14,76.24,76.32,76.36,76.54,76.54,76.57,76.65,76.76,76.83,76.89
JAWA TIMUR,71.89,72.01,72.13,72.33,72.44,72.67,72.68,72.70,72.87,73.15,73.27,73.35
BANTEN,70.48,70.66,70.84,71.02,71.11,71.41,71.44,71.47,71.62,71.81,71.93,71.99
BALI,72.59,72.76,72.91,73.07,73.15,73.31,73.32,73.35,73.57,73.89,74.03,74.17
NUSA TENGGARA BARAT,65.77,66.09,66.40,66.70,66.85,67.33,67.39,67.42,67.75,68.16,68.39,68.66
NUSA TENGGARA TIMUR,67.24,67.41,67.60,67.77,67.85,67.91,67.92,67.96,68.28,68.81,68.96,69.11
KALIMANTAN BARAT,71.07,71.28,71.47,71.66,71.75,71.87,71.89,71.90,72.16,72.55,72.67,72.74
KALIMANTAN TENGAH,70.98,71.06,71.16,71.23,71.34,71.49,71.49,71.50,71.55,71.60,71.66,71.72
KALIMANTAN SELATAN,68.63,68.86,69.09,69.33,69.45,69.78,69.84,69.95,70.19,70.45,70.62,70.79
KALIMANTAN TIMUR,74.84,75.05,75.27,75.46,75.56,75.59,75.59,75.61,75.87,76.13,76.21,76.51
KALIMANTAN UTARA,-,-,-,73.88,73.98,74.28,74.30,74.34,74.37,74.40,74.44,74.48
SULAWESI UTARA,72.39,72.55,72.70,72.85,72.92,72.98,72.99,73.01,73.23,73.55,73.67,73.72
SULAWESI TENGAH,68.07,68.39,68.70,69.02,69.18,69.26,69.28,69.29,69.75,70.26,70.72,70.85
SULAWESI SELATAN,70.94,71.12,71.31,71.50,71.59,71.80,71.84,71.86,72.10,72.42,72.56,72.65
SULAWESI TENGGARA,71.67,71.87,72.08,72.30,72.41,72.46,72.47,72.47,72.71,73.12,73.37,73.37
GORONTALO,68.41,68.59,68.77,68.94,69.03,69.14,69.16,69.20,69.53,69.94,70.09,70.21
SULAWESI BARAT,64.45,64.72,65.00,65.28,66.00,66.18,66.20,66.23,66.47,66.78,67.02,67.19
MALUKU,66.42,66.58,66.74,66.90,66.98,67.28,67.34,67.39,67.58,67.79,67.93,68.05
MALUKU UTARA,68.69,68.88,69.08,69.28,69.38,69.48,69.50,69.53,69.79,70.17,70.32,70.44
PAPUA BARAT,66.57,66.72,66.86,67.02,67.10,67.15,67.16,67.19,67.43,67.78,67.90,68.05
PAPUA,66.19,66.34,66.48,66.64,66.72,66.97,66.99,67.00,67.22,67.51,67.65,67.79
INDONESIA,71.83,72.02,72.22,72.41,72.59,72.78,72.80,73.06,73.19,73.33,73.46,73.55
